Frame ID,ArUCo ID,ArUCo 2D,ArUCo 3D (dist yaw pitch roll)
370,3,"[[486.0, 153.0], [504.0, 152.0], [505.0, 170.0], [487.0, 173.0]]","[2.467782564773742, -9.494394906280048, -14.311838993843212, -158.27201433513562]"
371,3,"[[495.0, 170.0], [513.0, 170.0], [512.0, 189.0], [496.0, 189.0]]","[2.7246492736191104, 0.22435877639505933, 2.5662928862941237, -168.83597939990375]"
373,3,"[[542.0, 145.0], [561.0, 146.0], [559.0, 166.0], [541.0, 165.0]]","[2.5248631800934334, 2.9404242397653224, -1.264735320285917, -167.65594885497737]"
374,3,"[[544.0, 159.0], [564.0, 161.0], [563.0, 180.0], [544.0, 180.0]]","[2.3504122672948355, 1.0840313638474632, -8.105604382950908, -177.66656364842697]"
375,3,"[[547.0, 169.0], [567.0, 168.0], [567.0, 190.0], [548.0, 191.0]]","[2.3581352061190333, -3.749011381482385, -5.806418997697255, -169.4195347468444]"
377,3,"[[527.0, 149.0], [549.0, 151.0], [548.0, 173.0], [528.0, 173.0]]","[2.0579278891023605, -1.6174963214844171, -18.720763756774822, -175.35289405629723]"
378,3,"[[504.0, 133.0], [526.0, 132.0], [527.0, 155.0], [506.0, 156.0]]","[2.18321287549351, -1.1169818635756925, 10.864524784399102, -165.60495464595527]"
379,3,"[[512.0, 165.0], [535.0, 164.0], [536.0, 188.0], [514.0, 190.0]]","[1.9317714643036474, -7.263503932427935, -16.875123924609117, -169.27299527117725]"
380,3,"[[523.0, 177.0], [547.0, 175.0], [548.0, 197.0], [525.0, 200.0]]","[1.9762207415075832, -6.195492337406792, 0.6779288049255795, -150.72084371946352]"
381,3,"[[542.0, 135.0], [567.0, 135.0], [566.0, 159.0], [542.0, 159.0]]","[1.9306219936226257, 0.6952493937064717, 4.210881616204358, -151.5085787452675]"
382,3,"[[560.0, 151.0], [585.0, 151.0], [585.0, 177.0], [561.0, 177.0]]","[1.8310507247392003, 5.235974721275671, 24.908461975169025, -160.6756059766143]"
383,3,"[[562.0, 155.0], [587.0, 154.0], [588.0, 181.0], [563.0, 182.0]]","[1.7683476862525545, -5.114635517411164, -13.08383647683538, -170.98565440406236]"
384,3,"[[554.0, 162.0], [580.0, 161.0], [580.0, 188.0], [554.0, 188.0]]","[1.7952946827385217, 1.6528746326095238, 15.452321357665435, -170.97070440100194]"
385,3,"[[554.0, 140.0], [579.0, 140.0], [579.0, 170.0], [553.0, 171.0]]","[1.5738701607490795, -6.930429029872438, -24.777912419953328, -164.75336882963197]"
